NAME	ALTERNATIVENAMES	SHORTDESCRIPTION	DATEOFBIRTH	PLACEOFBIRTH	DATEOFDEATH	PLACEOFDEATH	LATITUDE	LONGITUDE
Bertin	 	Abbot and saint	615	Coutances	709		49.06667	-1.45
Bertolotti, Bernardino	 	Italian instrumentalist and composer	March 26, 1547	Salò Italy	after 1609	Rome Italy	42.5	1.48333
Bestuzhev-Ryumin, Mikhail Petrovich	 	Russian diplomat	1688	Moscow	1760	Paris	55.75222	37.61556
Betancur, Peter Of Saint Joseph	 	Spanish missionary and saint	March 21, 1626	Vilaflor, Tenerife	April 25, 1667	Antigua Guatemala, Guatemala	28.15623	-16.63592
Bethlen, Gabriel	 	Hungarian Protestant military leader	1580-11-15	Marosillye, now Ilia, Hunedoara, Romania	1629-11-15	Gyulafehérvár, now Alba Iulia, Romania	42.56667	1.48333
Beza, Theodore	 	French theologian	June 24, 1519	Vezelay, Burgundy (region)|Burgundy, Kingdom of France	October 13, 1605	Geneva, Old Swiss Confederacy|Switzerland	42.56667	1.48333
Bharadwaj, Nitish	 	Indian actor	June 2	Mumbai, India	 		18.92188	72.83468
Bibaculus, Marcus Furius	 	Roman Poet	103 BC	Cremona	 		-25.91141	24.40751
Biber, Heinrich Ignaz Franz	Biber von Bibern, Heinrich Ignaz Franz	Bohemian-Austrian composer and violinist	12 August 1644	Wartenberg (now Stráž pod Ralskem, Czech Republic)	3 May 1704	Salzburg	42.56667	1.68333
Biel, Gabriel	 	German canon regular and scholar	1420-1425	Speyer, Bishopric of Speyer, Holy Roman Empire	7 December 1495	Einseideln, Canton of Schwyz, Old Swiss Confederacy	49.32277	8.42791
Biener, Wilheim	 	Austrian lawyer and politician	1590	Lauchheim, Baden-Württemberg	July 17, 1651	Rattenburg	48.87172	10.24608
Bigod, Hugh 1st Earl of Norfolk	 	English nobleman	1095	 Belvoir Castle	1177	 Palestine	42.5	1.58333
Bilney, Thomas	 	England|English martyr	1495	 England	19 August 1531	 Lollards Pit, Norwich, Kingdom of England|England	38	-61
Binchois, Gilles	Binche, Gilles de; Bins, Gilles de	Franco-Flemish composer	1400	Mons	20 September 1460	Soignies	50.45413	3.95229
Birinus	 	British bishop	600	France	3 December 0649	Dorchester, Oxfordshire, England	15.33712	44.2012
Biron, Ernst Johann Von	 	Russian statesman of Baltic German descent	1690	 Kalnciems, Semigallia	1772	Mittau, Jelgava.	56.80111	23.60972
Biscop, Benedict	 	Anglo-Saxon abbot	628	Northumbria	12 January 0690	Monkwearmouth-Jarrow Priory|St Peter's, Wearmouth	55	-2.5
Bissot, Jean Baptiste	 	French-Canadian explorer and soldier	19 January 1668	Quebec, Canada	1719	Near present-day Fort Wayne, Indiana	-33.7818	151.1512
Blackmore, Sir Richard	 	English poet and physician	22 January 1654	Corsham, Wiltshire	9 October 1729	Boxted, Essex	51.43433	-2.18437
Blaeu, Willem Janszoon	 	Dutch cartographer	1571	Holland, Seventeen Provinces	21 October 1638	Amsterdam, Holland, Dutch Republic	-20.32431	32.55313
Blagrave, Daniel	 	English politician	1603	Berkshire, England	1668	Aachen, Germany	42.2075	-73.3464
Blahoslav, Jan	 	Czech writer	20 February 1523	Přerov, Moravia	24 November 1571	Moravský Krumlov	49.4258	17.4047
Blair, J. D.	James Blair	Musician	March 16	Nellis AFB, Las Vegas, NV	 		37.61667	-116.26417
Blair, James	 	Scottish-born clergyman, missionary, educator	1656	Banffshire, Scotlan	18 April 1743	Jamestown, Virginia	42.5	1.58333
Blake, Robert	 	Military commander	1599	Bridgwater	17 August 1657	At sea off Plymouth	51.12837	-3.00356
Blanche of Navarre	Blanca Garcés de Pamplona (Spanish)	Wife of King Sancho III of Castile	after 1133	Laguardia, Álava|Laguardia	August 12, 1156		42.5546	-2.58528
Blathmac, Saint	 	Irish monk	750	Ireland	835	Iona	55	-12.66667
Bloemaert, Abraham	 	Dutch painter	1566	Gorinchem	27 January 1651	Utrecht	51.83873	4.97712
Blommaert, Samuel	 	Flemish/Dutch merchant 	1583	Antwerp, Belgium	1654		42.2009	-85.82171
Blood, Thomas	 	Ireland|Irish-born Colonel best known for attempting to steal the Crown Jewels of the United Kingdom|Crown Jewels	1618	County Meath, Ireland	23 August 1680	Westminster, London, England	55	-12.66667
Blount, Thomas	 	English antiquarian and lexicographer	1618	Bordesley, Worcestershire|Bordesley, Tardebigge, Worcestershire, Kingdom of England|England	December 26, 1679	Orleton, Herefordshire, England	52.8	-2
Blow, John	 	English composer	bapt. 23 February 1649	Newark-on-Trent, Nottinghamshire	1 October 1708	Westminster, London	53.16667	-1
Bobola, Andrew 	Bobola, Andrzej 	Jesuit missionary and martyr, known as the Apostle of Lithuania 	1591	Sandomierz Voivodeship, Lesser Poland, Crown of the Kingdom of Poland, Polish–Lithuanian Commonwealth.	16 May 1657	Ivanava, Grand Duchy of Lithuania, Polish–Lithuanian Commonwealth	42.56667	1.68333
Boccaccio, Giovanni	 	Writer, humanist	16 June 1313	Tuscany	21 December 1375	Certaldo	42.5	1.58333
Boccone, Paolo	Boccone, Silvio	Italian Botanist	24 April 1633	Palermo	22 December 1704	Altofonte	-33.8	-55.98333
Bochart, Samuel	 	French Protestant theologian	30 May 1599	Rouen	16 May 1667	Caen	-35.78333	-56
Bock, Hieronymus	 	German botanist	1498	Heidesbach	21 February 1554	Harnbach	42.5	1.48333
Bocquet, Mlle	Anne Bocquet or Marguerite Bocquet	Lutenist and composer	early 17th century	Paris, France (?)	after 1660	Paris, France	48.86694	2.78207
Bocskay, Stephen	Bocskai, István	 	1 January 1557	Kolozsvár, Transylvania (present-day Cluj-Napoca, Romania)	29 December 1606	Košice|Kassa, Upper Hungary (present-day Košice|Kosice, Slovakia)	1 January 1557	29 December 1606
Bodley, Thomas	 	English diplomat and scholar, founder of the Bodleian Library, Oxford	March 2, 1545	Exeter, Kingdom of England|England	January 28, 1613		-17.79685	31.90034
Bodmer, Johann Jakob	 	Switzerland|Swiss-German author, academic, critic and poet	19 July 1698	Greifensee, near Zürich	2 January 1783	Zürich	47.3484	8.68124
Boel, Pieter	 	painter	1626	Antwerp	1674	Paris	42.2009	-85.82171
Boethius	Boëthius, Anicius Manlius Severinus	philosopher	480	Rome	October 23, 524	Pavia	41.89474	12.4839
Boffrand, Germain	 	French architect	16 May 1667	Nantes, France	19 March 1754	Paris, France	19.43333	-71.76667
Bogdan III The One Eyed	 	List of Moldavian rulers|Voivode of Moldavia	1470/1471	Huşi, Romania	1517		46.67361	28.05944
Bogdani, Pjeter	 	Roman Catholic archbishop	1630	Gur i Hasit, Ottoman Empire	1689	Pristina, Ottoman Empire, (now Kosovo)	42.5	1.48333
Bogislaw XIV, Duke of Pomerania	Bogusław XIV (Polish); Bògùsłôw XIV (Kashubian)	Duke of Pomerania-Rügenwalde (1617-1725), then all of Pomerania (1625-1637)	31 March 1580	Barth, Germany|Barth	10 March 1637	Stettin	18	-63
Bohemia, Elisabeth Of	 	 Queen consort of Hungary, Bohemia and Germany, and Duchess consort of Austria	7 October 1409	Visegrád, Hungary	19 December 1442	Győr, Hungary	47.78526	18.9709
Bohm, Georg	 	German composer and organist	2 September 1661	Hohenkirchen, Thuringia	18 May 1733		53.6626	7.9174
Boileau-Despreaux, Nicolas	 	French poet	1 November 1636	Paris, France	13 March 1711	Paris, France	48.86694	2.78207
Bolesław I Chrobry	 	King of Poland	967	Poznań	17 June 1025	Kraków?	52.4079	16.91886
Boleyn, Anne	 	Second wife of Henry VIII of England|King Henry VIII, mother of Elizabeth I of England|Queen Elizabeth I	1504	Blickling Hall/ Hever Castle, England	19 May 1536	Tower of London	38	-61
Bolingbroke, Henry Saint John, 1st Viscount	 	English politician and Viscount	16 September 1678	Battersea, Surrey&lt;br/&gt;Kingdom of England|England	12 December 1751	Battersea, London&lt;br/&gt;Kingdom of Great Britain|Great Britain	-33.8318	151.1179
Bolland, Jean	 	Jesuit hagiographer	18 August 1596	Julémont	12 September 1665	Antwerp	50.68553	5.771
Bona, Giovanni Leonardo di	 	Italian chess player	1542	Cutro, Calabria, Italy	1587		39.03529	16.98191
Bonanni, Filippo	 	Jesuit priest and scientist	1638	Rome, Italy	1723	Rome	41.89474	12.4839
Bonaventure	 	Italian cardinal	1221	Bagnoregio, Province of Viterbo, Latium, Papal States	15 July 1274	Lyon, Lyonnais, Kingdom of Arles	42.62903	12.08836
Bonde, Gustaf	 	Swedish politician	February 1, 1620	Pargas, Finland	May 25, 1667	Hamburg	60.14413	21.75304
Bonfrere, Jacques	 	Jesuit priest, biblical scholar	12 April 1573	Dinant	9 May 1642	Tournai	50.25807	4.91166
Boniface 08	 	Italian pope	1235	Anagni, Papal States, Holy Roman Empire	11 October 1303	Rome, Papal States	41.74472	13.15269
Boniface IV, Pope	Bonifatius IV (Latin); Boniface, Saint	Pope	550	Valeria (province)|Valeria, Italy	25 May 615	Rome, Italy	-17.54809	31.04594
Boniface IX	 	Pope Pope	1356	Naples, Kingdom of Naples	1 October 1404	Rome, Papal States	34.97785	-97.7142
Boniface of Brussels	 	Roman Catholic bishop	1183	Brussels	19 February 1260	La Cambre, Brussels	50.8348	4.33653
Bonini, Severo	 	Italian composer, organist	23 December 1582	Florence	5 December 1663	Florence	-21.87344	30.89136
Bonner, Edmund	Boner, Edmund	Bishop of London, was an England|English bishop	1500	Hanley, Worcestershire	5 September 1569	the Marshalsea	-32.41794	116.5726
Bonnet, Stede	The Gentleman Pirate (nickname)	Barbadian pirate	1688	Bridgetown, Barbados	10 December 1718	Charleston, South Carolina	13.1	-59.61667
Bononcini, Giovanni Battista	 	Italian composer	18 July 1670	Modena, Italy	9 July 1747	Vienna	45.54991	-99.6465
Booth, Lawrence	Booth, Laurence; Bothe, Lawrence; Bothe, Laurence	Lord Privy Seal; Lord Chancellor; Bishop of Durham; Archbishop of York	1420	Barton, Lancashire	19 May 1480	Southwell, Nottinghamshire	17.21667	-88.95
Borandukht	Buran, Poran, Burandokht, Purandokht	Sassanid queen	590	Persia	632		9.8723	-74.31032
Borch, Gerard Ter	 	Dutch painter	1617	Zwolle, Overijssel, Dutch Republic	8 December 1681	Deventer, Overijssel, Dutch Republic	52.5125	6.09444
Bordone, Paris	 	Italian painter	1495	Treviso	1570	Venice	-25.42746	-48.87754
Borelli, Giovanni Alfonso	 	Italian physicist	28 January 1608	Naples	31 December 1679	Rome	34.97785	-97.7142
Borghese, Scipione	 	Catholic cardinal 	1 September 1577	Artena, Italy	2 October 1633	Rome, Italy	41.74142	12.90349
Borgia, Cesare	 	Duke of Urbino and Catholic cardinal	13 September 1475	Rome, Italy	12 March 1507	Viana, Spain	41.89474	12.4839
Borgia, Lucrezia	 	Italian noblewoman	18 April 1480	Subiaco, Italy	24 June 1519	Ferrara	-31.95056	115.8225
Borromeo, Carlo	 	Cardinal Archbishop of Milan	2 October 1538	Arona	3 November 1584	Milan	-9.74008	160.80714
Borromeo, Federico	 	Cardinal Archbishop of Milan	18 August 1564	Milano	22 September 1631	Milano	-31.0012	121.9162
Borromini, Francesco	Castelli, Francesco	Swiss architect	25 September 1599	Bissone	3 August 1667	Rome	45.15756	9.39976
Bossuet, Jacques-Benigne	 	Catholic bishop	September 27, 1627	Dijon, France	April 12, 1704	Paris	7.73333	0.78333
Boston, Thomas	 	Scottish church leader	17 March 1676	Duns, Berwickshire	20 May 1732	Duns, Berwickshire	56.15	15.25
Both, Pieter	 	Dutch colonial governor	1568	Amersfoort, Dutch Republic	6 March 1615	Indian Ocean (near Mauritius)	-26.98333	28.85
Bottger, Johann Friedrich	 	Saxon alchemist	February 4, 1682	Schleiz	March 13, 1719	Dresden	50.6023	11.8038
Bottrigari, Ercole	Hercole Bottrigari, Cavalier Ercole Bottrigari	Italian Renaissance man	1531	Bologna	1612	Bologna (?)	44.50657	11.35041
Boulogne, Valentin De	 	Painter	before 3 January 1591	Coulommiers, Seine-et-Marne|Coulommiers, France	1632		48.838	3.015
Bourbon, Louis Armand Ii De, Prince De Conti	 	Dutch prince	11 October 1695	Palace of Versailles, Versailles (city)|Versailles, France	5 April 1727	Hôtel de Conti, Paris, France	48.80494	2.12131
Bourgeoys, Marguerite	 	French colonist and foundress	17 April 1620	Troyes, Champagne (province)|Champagne, Kingdom of France	12 January 1700	Fort Ville-Marie, New France, French colonial empire|French Empire	48.30358	4.04552
Bower, Archibald	 	Scottish Historian	17 January 1686	Dundee, Scotland	3 September 1766	England	-20.32537	28.54814
Bownas, Samuel	 	Quaker	20 Nov. 1676	Westmorland|Westmoreland, England	 2 April 1753	Bridport	54.5	-2.58333
Boyle, Charles	Orrery, 4th Earl of; Marston, 1st Baron Boyle of	British nobleman	28 July 1674	Chelsea, London	28 August 1731	Westminster, London	51.50378	-0.18928
Brébeuf, Jean De	 	Jesuit missionary and martyr	March 25, 1593	Condé-sur-Vire, Normandy, France	March 16, 1649	Sainte-Marie among the Hurons, near Midland, Ontario, Canada	49.05	-1.03333
Bracciolini, Gian Francesco Poggio	 	Italian scholar, writer, humanist	February 11, 1380	Terranuova Bracciolini	October 30, 1459	Florence	43.55215	11.58843
Brackley, Thomas Egerton, 1st Viscount	 	English politician	1540	Doddlestone, Cheshire, England	15 March 1617	England	-20.39786	29.95288
Braddock, Edward	 	British Army general	1695-01-00	Pertheshire, Scotland	13 July 1755	Battle of Fort Necessity|near Great Meadows, United States	45.28339	-97.91979
Bradford, John	 	English Protestant Reformer and martyr	1510	Manchester, England	1555	London, England	47.55593	-122.54486
Bradford, William	 	Early English-born printer in North America	May 20, 1663	Barwell, Leicestershire, England	May 23, 1752	New York, New York	-33.4824	135.56311
Bradford, William	 	Governor of the Plymouth Colony, author of ''Of Plymouth Plantation''	March 19, 1590	Austerfield, Yorkshire, England	May 9, 1657	Plymouth, Massachusetts|Plymouth, Plymouth Colony	53.44601	-1.00565
Bradley, James	 	British astronomer	1693	Sherborne, Gloucestershire|Sherborne, nr Cheltenham, Gloucestershire, England	13 July 1762	Skiveralls House, Chalford, Gloucestershire, England	50.94599	-2.51776
Bradstreet, Simon	 	Last governor of Massachusetts Bay Colony, husband of poet Anne Bradstreet	March 18, 1603/4	Lincolnshire, England	March 27, 1697	Salem, Massachusetts	53.58333	-0.5
Brady, Nicholas	 	Poet, Anglican divine	28 October 1659	Bandon, County Cork, Ireland	20 May 1726		44.58598	-94.8127
Brahe, Per	 	Swedish noble	18 February 1602	Rydboholm Castle, Uppland	2 September 1680	Bogesund Palace, Sweden	42.56667	1.68333
Brahe, Tycho	 	Danish astronomer	1546-12-14	Knutstorp Castle, Scania	1601-10-24	Prague	42.56667	1.68333
Brahmadeva	buddha	buddha	1060	india	1130	india	23.27967	90.13101
Braithwaite, Leonard Austin	 	Canadian politician	October 23,	Toronto, Ontario	March 28, 2012	Toronto, Ontario	43.66219	-79.3942
Bramante, Donato	 	Italian architect	1444	Fermignano, Italy	11 April 1514	Rome	43.68396	12.64405
Bramer, Leonaert	 	Dutch painter	24 December 1596	Delft	10 February 1674	Delft	52.00667	4.35556
Branca, Giovanni	 	Italian architect and engineer	22 April 1571	Sant'Angelo in Lizzola, Italy	24 January 1645	Loreto (AN)|Loreto	43.82696	12.80076
Brancoveanu, Constantin	 	Prince of Wallachia	1654	Brâncoveni, Wallachia	August 15, 1714	Constantinople, Ottoman Empire	44.31667	24.3
Brandl, Petr	 	Czech artist	October 24, 1668	Prague, Bohemia	September 24, 1735	Kutná Hora, Bohemia	50.10083	14.26
Brandt, George	 	Discoverer of cobalt	26 June 1694	Skinnskatteberg, Sweden	29 April 1768	Stockholm, Sweden	15.34237	44.1815
Bray, Thomas	 	English clergyman with Maryland connection	1658	Marton, Shropshire, England	15 February 1730		-40.08333	175.38333
Braziliano, Roche	 	Dutch buccaneer	1630	Groningen (city)|Groningen, The Netherlands	 		-30.11278	26.58498
Breaux, &quot;D-D&quot;	 	Women's collegiate gymnastics coach	19 January	Donaldsonville, LA	 		34.0421	-118.267
Brendan of Clonfert	Brendan, Saint Brendan of Clonfert,Bréanainn of Clonfert	The Navigator	484	Fenit, Tralee, County Kerry, Ireland	577	Annaghdown, County Galway, Connacht, Ireland	52.29167	-9.86667
Brenz, Johannes	Johann	German church reformer	June 24, 1499	Weil der Stadt, Germany	September 11, 1570	Stuttgart, Germany	48.75145	8.86889
Brereton, William	 	Groom of the Privy Chamber of Henry VIII of England	1487	Cheshire	17 May 1536	Tower Hill, London	-20.39786	29.95288
Brestisson, Sigmundur	 	First Faroese christian	961	Skúvoy, Faroe Islands	1005	Sandvík, Faroe Islands	61.77085	-6.79916
Brettingham, Matthew	Brettingham, Matthew, the Elder	English architect	1699	Norwich, Norfolk, England	19 August 1769	Norwich, Norfolk, England	-29.03333	167.95
Breu the Elder, Jörg	Breu the Elder, Joerg;Breu, Jörg;Breu, Georg;Preu, Jörg (der Ältere);Prew, Jörg (der Ältere);Breü, Jörg (der Ältere);Jörg Breu d. Ä.	German Renaissance painter	1475/1480	Augsburg	1537	Augsburg	48.50011	-96.71487
Brewster, William	 	Religious emigrant to North America and leader there	24 January 1566	Scrooby, Nottinghamshire or Doncaster, Yorkshire, England	1644	Duxbury, Massachusetts, USA	42.56667	1.48333
Briant, Alexander	 	Jesuit martyr	17 August 1556	Somerset, England	1 December 1581	Tyburn, London, England	-17.85098	31.90482
Bridel, Bedřich	 	Czech Baroque composer	1619	Vysoké Mýto	15 October 1680	Kutná Hora	42.5	1.58333
Bridget Of Sweden	 	Swedish saint	1303	Uppland, Sweden	23 July 1373	Rome, Papal States	15.34237	44.1815
Brocadelli, Lucia	Lucy of Narni	Dominican tertiary and stigmatic	13 December 1476	Narni, Umbria, Papal States	15 November 1544	Ferrara, Duchy of Ferrara	42.51713	12.52307
Brokoff, Jan	 	German sculptor	23 June 1652	Spišská Sobota, now part of Poprad City	28 December 1718	Prague	42.5	1.48333
Bromley, Thomas	 	English lord chancellor	1530	Staffordshire, Kingdom of England|England	11 April 1587		52.83333	-2
Bronster, Margery	 	American politician	December 12	Englewood, NJ	 		45.25632	-102.11042
Bronzino	Agnolo di Cosimo (Full name), Il Bronzino	Italian painter	November 17, 1503	Florence	November 23, 1572	Florence	-21.87344	30.89136
Brooke, Fulke Greville, 1st Baron	 	English politician	3 October 1554	Alcester, Warwickshire	30 September 1628	Warwick, Warwickshire	43.04044	-96.62806
Brooks, James	Brookes, James	Bishop and academic administrator	May 1512	Hampshire, England	1560	England	43.13575	-70.93162
Brosse, Jean de	 	Marshal of France	1375	Huriel, France	1433	Boussac, France	46.37368	2.47793
Brouwer, Adriaen	Adriaen de Brauwer	painter	1605	Oudenaarde	January 1638	Antwerp	50.8567	3.62474
Brown, Dave	Brown, David Steven	American football player and coach	January 16, 195	Akron, Ohio	January 10, 2006	Lubbock, Texas	40.16054	-103.21438
Browne, Richard, 1st Baronet	 	Lord Mayor of London, 1660	1610	Wokingham, Berkshire	24 September 1669		-21.41734	143.59795
Browne, Thomas, Sir	Browne, Thomas	English author	19 October 1605	St Michael, Cheapside, London, Kingdom of England|England	19 October 1682	Norfolk, England	-34.97713	138.70825
Bruce, Jacob	 	Russian noble and scientist	1669	Moscow, Russia	April 30, 1735		55.75222	37.61556
Bruce, William	 	Scottish architect	1630	Blairhall, Fife, Scotland	1 January 1710		-9.31667	32.8
Brucker, Johann Jakob	 	German historian of philosophy	22 January 1696	Augsburg	26 November 1770	Augsburg	48.50011	-96.71487
Bruders, Patrick	 	American musician	August 24	El Paso, TX	 		8.25	-67.78333
Brueghel, Abraham	Breugel, Ryngraaf	Flemish Baroque painter	28 November 1631	Antwerp	1690	Italy	42.2009	-85.82171
Brueghel, Jan (The Elder)	 	Dutch painter	1568	Brussels	13 January 1625	Antwerp	50.8348	4.33653
Brugman, John	 	German Franciscan friar, preacher and writer	14th century	Electorate of Cologne, Holy Roman Empire	1473	Nijmegen, Duchy of Guelders, Holy Roman Empire	42.5	1.48333
Bruhns, Nicolaus	Bruhns, Nikolaus; Bruhns, Nicholas	organist and composer	1665	Schwabstedt	29 March 1697	Husum	54.39705	9.18646
Brun, Charles Le	 	French painter	24 February 1619	Paris	22 February 1690	Paris	48.86694	2.78207
Brunelleschi, Filippo	Filippo Brunellesco	Italian architect, artist and engineer	1377	Florence, Italy	April 15, 1446	''unknown''	-21.87344	30.89136
Bruno Of Querfurt	 	Missionary bishop and martyr	970	Querfurt, Saxony-Anhalt	February 14, 1009		51.3801	11.6005
Bruno of Würzburg	Bruno of Carinthia	Chancellor of Italy and Prince-Bishop of Würzburg	1005	Duchy of Carinthia|Carinthia	27 May 1045	Persenbeug, Austria	42.56667	1.68333
Bruno, Giordano	Filippo Giordano Bruno	Italy|Italian philosopher, priest, cosmologist, and occultist	1548	Nola	February 17, 1600	Rome	37.66472	40.88972
Brutus, Marcus Junius	 	Roman politician	June 85 BC	Rome, Italia (Roman Empire)|Italia	October 23, 42 BC 	Philippi, Macedonia (Roman province)|Macedonia	41.89474	12.4839
Bry, Theodor De	 	editor, engraver, goldsmith	1528	Liège	27 March 1598	Frankfurt am Main	50.62515	5.56595
Bucer, Martin	Butzer, Martin	Protestant reformer	11 November 1491	Sélestat, France (Holy Roman Empire)	28 February 1551	Cambridge, England	48.26667	7.45
Buchan, John Stewart, Earl of	Batman	 	1381	Scotland	1424	Verneuil-sur-Avre, France	45.28339	-97.91979
Buck, George	Buc, George	Antiquarian	1560	England	1622	England	38	-61
Bucquoy, Charles Bonaventure de Longueval, Count of	 	military commander	9 January 1571	Arras	10 July 1621	Nové Zámky	41.73583	20.32417
Budgell, Eustace	 	Irish politician	1686	Exeter, Devon	1737	London, England	-17.79685	31.90034
Bull, George	 	Theologian	1634	Wells, Somerset	1710	Brecknock, Powys	13.35	43.6
Bulleh Shah	Abdullah Shah	 	1680	Uch, Undivided India	1757	Kasur, Undivided India	36.66736	71.6975
Bureau, Jean	 	French artillery commander	1390	Semoine, France	5 July 1463		48.67914	4.08879
Burgess, Leroy	 	American music producer	08/20/53	New York City, New York, United States	 		40.71427	-74.00597
Burgh, 4th Countess of Ulster, Elizabeth De	 	Irish countess	6 July 1332	Carrickfergus Castle, Belfast, County Antrim, Ireland	10 December 1363	Dublin, Ireland	54.7	-5.8
Burgh, Edmond De	 	Irish knight	1298-00-00	Ireland	1338-00-00		55	-12.66667
Burgkmair, Hans	 	German artist	1473	Augsburg	1531		48.50011	-96.71487
Burley, Walter	Burlaeus, Gualterus; Gualterus Burlaeus; Burleigh, Walter; Gualterius Burleus Anglicus	English logician	1275	Burley-in-Wharfedale, Yorkshire	1344/1345		-18.3125	32.11264
Burlington, Richard Boyle, 3rd Earl Of	 	English noble	25 April 1694	Yorkshire, Kingdom of England|England	15 December 1753		-18.3125	32.11264
Burnell, Robert	Burnel, Robert	Archbishop-elect of Canterbury; Bishop of Bath and Wells; Bishop-elect of Winchester	1239	Acton Burnell, Shropshire	25 October 1292	Berwick	52.61388	-2.69468
Burnet, Gilbert	 	British bishop	18 September 1643	Edinburgh, Scotland	17 March 1715	St John's Court, Clerkenwell, London	-27.05945	24.71266
Burnet, William	 	Colonial governor of New York, New Jersey, Massachusetts Bay, and New Hampshire	March 1688	The Hague, Netherlands	7 September 1729	Boston, Massachusetts	52.08019	4.32535
Burton, Richard	 	American actor	January 11	Baltimore	 		42.5518	-85.24977
Burton, Robert	 	English scholar	8 February 1577	Lindley, Leicestershire, England	25 January 1640	Oxford, UK	-27.8791	27.91348
Busenbaum, Hermann	 	German Jesuit casuist	19 September 1600	Nottelen	31 January 1668	Münster	42.5	1.48333
Butler, Joseph	 	British bishop	18 May 1692	Wantage	16 June 1752	Bath, Somerset	41.24312	-74.6259
Buytewech, Willem Pietersz	 	Dutch painter	January 1, 1592	Rotterdam	September 23, 1624	Rotterdam	51.92508	4.46946
Buzjani, Abu Al-Wafa	ابوالوفا محمد بن محمد بن یحیی بن اسماعیل بن العباس البوزجانی; Abū al-Wafāʾ Muḥammad ibn Muḥammad ibn Yaḥyā ibn Ismāʿīl ibn al-ʿAbbās al-Būzjānī	Persian mathematician and astronomer	940	Buzhgan	15 July 998	Baghdad	42.5	1.48333
Byrd, William I	 	American politician	1652	Shadwell, London, England	4 December 1704	Westover Plantation|Westover, Charles City County, Virginia, British America	51.53223	-0.04905
Byrom, John	 	Poet, inventor of a shorthand system	1692-02-29	Manchester, England	1763-09-26	Manchester, England	47.55593	-122.54486
Cacella, Estevao	 	Portuguese missionary	1585	Avis Municipality|Aviz, Kingdom of Portugal	1630	Tibet	42.56667	1.68333
Cadamosto, Alvise	 	Explorer	1432	Venice	1488		45.25	13
Caesar, Gaius Julius	Julius Caesar	Roman dictator	12 July 100 BC	Rome, Roman Republic	15 March 44 BC	Rome, Roman Republic	41.89474	12.4839
Cainnech of Aghaboe	St. Canice, St. Caimnech, St. Cainnech, St. Cainnic, St. Canicus, St. Chainnigh, St. Kenneth, St. Kenny	A Saint, priest and abbot who preached across Ireland and Scotland.	515 or 516	Glengiven, County Londonderry, Northern Ireland	600	Aghaboe, Ireland	54.91667	-6.91667
Cajetan, Thomas	 	Catholic cardinal	20 February 1469	Gaeta, Kingdom of Naples	9 August 1534	Rome, Papal States	41.21831	13.56281
Caldara, Antonio	 	Italian composer	1670	Venice, Italy	28 December 1736	Vienna, Austria	45.25	13
Caligula	Germanicus; Gaius Julius Caesar Augustus	Roman Emperor	31 August 12	Antium, Italy	24 January, 41	Roman Empire	15.337	44.20654
Calixtus, Georg	 	German Lutheran theologian	December 14, 1586	Medelbye in Schleswig	March 19, 1656	Helmstedt	42.5	1.48333
Callixtus 3	 	Pope	31 December 1378	Canals, Valencia|Canals, Kingdom of Valencia|Valencia, Crown of Aragon	6 August 1458	Rome, Papal States	43.85165	1.29199
Calungsod, Pedro	 	Filipino Catholic saint 	1654	Ginatilan, Cebu, Philippines	April 2, 1672	Tumon, Guam	9.6	123.35
Calvert, Leonard	 	First governor of Maryland colony	1606	England	June 9, 1647	Province of Maryland|Maryland colony	38	-61
Calvin, John	Calvin, Jean; Cauvin, Jean; Chauvin, Jean	French theologian, founder of Calvinism	10 July 1509	Noyon, Picardy (region)|Picardy, Kingdom of France	27 May 1564	Geneva	61.71102	133.28575
Calvisius, Sethus	Calvisio, Setho; Kalwitz, Seth	German music theorist, composer, chronologer, astronomer, and teacher	21 February 1556	Gorsleben	24 November 1615	Leipzig	51.26667	11.18333
Camões, Luís Vaz de	Camões, Luis Vaz de; Camoens, Luís Vaz de; Camoens, Luis Vaz de; Camões, Luís de; Camoens, Luís de; Camões, Luis de; Camoens, Luis de	Portuguese poet	1524	 Possibly Lisbon, Portugal	10 June 1580	Lisbon	-23.48628	-46.73367
Cambridge, Richard Of Conisburgh, 3rd Earl Of	 	English noble	1375	Conisborough Castle|Conisburgh Castle, Yorkshire	5 August 1415	Southampton, Hampshire	42.56667	1.48333
Camillo Massimo	 	Cardinal and patron of the arts	20 July 1620	Italy	12 September 1677	Rome	15.337	44.20654
Campanus, Johannes Vodnianus	Campanus, Jan Vodňanský; Jan z Vodňan; Campanus-Vodňanský, Jan; Kampánus Vodňanský, Jan; Campanus Vodnianus, Ionnes	Czech humanist, composer, pedagogue, poet and dramatist	27 December 1572	Vodňany, Bohemia	13 December 1622	Prague	41.4135	-96.85072
Campbell, Colen	 	Scottish architect and architectural writer	15 June 1676	Brodie	13 September 1729	London	34.70981	-92.41682
Campeggio, Lorenzo	 	Catholic cardinal	7 November 1474	Milan	19 July 1539	Rome	42.12889	19.5875
Campen, Jacob van	 	Dutch painter	February 2, 1596	Haarlem, Holland, Dutch Republic	September 13, 1657	Amersfoort, Utrecht (province)|Utrecht, Dutch Republic	-30.47462	18.66011
Campion, Edmund	 	English Jesuit priest, martyr and saint	24 January 1540	London, Kingdom of England	1 December 1581	Tyburn, London, Kingdom of England	51.53223	-0.04905
