NAME	ALTERNATIVENAMES	SHORTDESCRIPTION	DATEOFBIRTH	PLACEOFBIRTH	DATEOFDEATH	PLACEOFDEATH	LATITUDE	LONGITUDE
Aholelei, Tevita	Esau	United States Marine	4/21/69	Kingdom of Tonga	 		-20	-175
Aichel, Jan Blažej Santini	 	Czech architect	1677-2-3	Prague 	1723-12-7	Prague 	50.10083	14.26
Aihara, Miki	 	Japanese manga artist	June 10	Shizuoka, Japan	 		34.79611	138.18944
Ailly, Pierre	 	Catholic cardinal	1351	Compiègne	9 August 1420	Avignon	49.41794	2.82606
Aitzema, Lieuwe van	Leo van Aitzema (Dutch name); Leo ab Aitzema (Latinized name)	Dutch diplomat, writer, philanderer and spy	19 November 1600	Dokkum, Frisia, The Netherlands,	23 February 1669	The Hague, The Netherlands	53.32224	5.99698
Akhtar, Pav	 	International Trade Union Director	22.11.197X	Leeds	Living	Living	43.97868	-95.8839
Akita Sanesue	 	Daimyo	1576	Dewa Province, Japan	January 11, 1660	Asama, Ise Province|Asama, Ise Province	41.5	135
Akiyama Nobutomo	 	Samurai	1531	Tsutsujigasaki Hall, Kai Province	1575	Mino Province	42.5	1.48333
Al-Baqir, Muhammad	{Allehis Salam}	Twelver imam	676	Madinah|Madīnah	743	Medina, Umayyad Empire	32.10015	20.06906
Al-Dhahabi	 	Historian of Islam	1274	Damascus	1348		33.5102	36.29128
Al-Ghazi, Ahmad Ibn Ibrihim	Ahmed Gurey; Ahmed Gragn	Somalian military and religious leader	1507	Zeila or Hubat	February 21, 1543	Battle of Wayna Daga|Wayna Daga	42.5	1.48333
Al-Hadi, Ali	 	Imam	828	Medina	868		34.83333	15.16667
Al-Hakim Bi-Amr Allah	 	Caliph	985	Cairo	1021		30.1164	30.9154
Al-Jāḥiẓ	 	Arabic writer 	776	Basra, Abbasid Caliphate	 	Basra, Abbasid Caliphate	2.2991	45.2636
Al-Khansa	 	Poet	575	Najd	 	Najd	14.27106	44.34948
Al-Mahdi, Muhammad	 	Mahdī	869	Samarra	 		42.5	1.58333
