#Item	Label	Description	Site on enwiki
Q9018766	Nativity		Nativity (Christus)
Q9019507	The Miraculous Draft of Fishes	painting by Konrad Witz	The Miraculous Draft of Fishes (Witz)
Q9076690	Señorío de Sanlúcar		Señorío de Sanlúcar
Q9091826	Union for Democracy and Progress		Union for Democracy and Progress
Q9301386	Ascent of the Blessed	painting by Hieronymus Bosch	Ascent of the Blessed
Q10791211	Kingdom of Mrauk U	Arakan Kingdom	Kingdom of Mrauk U
Q10800789	Lê dynasty		Lê dynasty
Q10957559	Principality of Moldavia	former principality in eastern Europe	Moldavia
Q11024667	Duchy of Mecklenburg-Schwerin	was a duchy in northern Germany created in 1701	Duchy of Mecklenburg-Schwerin
Q11704201	Taifa of Arjona		Taifa of Arjona
Q11797267	Lostwithiel	Former Borough constituency	Lostwithiel (UK Parliament constituency)
Q11824958	Sibylla Sambetha	painting by Hans Memling	Sibylla Sambetha
Q11941671	Paintings from Santa Maria in Taüll		Paintings from Santa Maria in Taüll
Q12031755	Kingdom of Dazhou		Kingdom of Dazhou
Q12213222	Spanish West Indies	Former Spanish possession in the Caribbean	Spanish West Indies
Q12248840	Namara inscription		Namara inscription
Q12491034	Kahuripan		Kahuripan
Q12817455	County of Nassau		County of Nassau
Q13081931	Gazi Husrev-beg Library		Gazi Husrev-beg Library
Q13107370	Principality of Serbia	Medieval principality in Eastern Europe	Principality of Serbia (medieval)
Q13403910	Sanjak of Salonica		Sanjak of Salonica
Q13496558	Bishopric of Brixen	former state in South Tyrol (1027–1803)	Bishopric of Brixen
Q13534654	Taifa of Toledo		Taifa of Toledo
Q13542619	Barony of Gritzena		Barony of Gritzena
Q13576027	Prome Kingdom		Prome Kingdom
Q13630165	Borghese Venus		Borghese Venus
Q13645132	Lord Mayor of Dublin		Lord Mayor of Dublin
Q14624218	Western Chalukya Empire		Western Chalukya Empire
Q14751278	Barony of Veligosti		Barony of Veligosti
Q15094561	Russian Union of Engineers		Russian Union of Engineers
Q15128058	Nassau-Saarbrücken		Nassau-Saarbrücken
Q15401653	The Virgin appearing to St. Bernard		The Virgin appearing to St. Bernard
Q15490664	Kingdom of Arles		Kingdom of Arles
Q15534639	Bust of Charlemagne	reliquary in the form of the bust of Charlemagne	Bust of Charlemagne
Q15623879	Chronicle of Fredegar		Chronicle of Fredegar
Q15693822	Satala Aphrodite		Satala Aphrodite
Q15914818	Gansu Flying Horse		Gansu Flying Horse
Q15949493	Nachcharini		Nachcharini
Q15980848	Union for National Salvation		Union for National Salvation
Q16146498	Bishop of Argyll		Bishop of Argyll
Q16148052	Archdeacon of Llandaff	office in the Church in Wales	Archdeacon of Llandaff
Q16161113	Madonna Adoring the Child with Five Angels	painting by Botticelli	Madonna Adoring the Child with Five Angels (Botticelli)
Q16170276	Virgin and Child Enthroned	painting by Rogier van der Weyden	Virgin and Child Enthroned (van der Weyden)
Q16931016	Breadalbane Brooch	Celtic penannular brooch	Breadalbane Brooch
Q16983056	Haarlem schutterij	Dutch militia of Haarlem (disbanded in 1794)	Haarlem schutterij
Q16997887	Minuscule 3686	Map of the British Isles	Minuscule 3686
Q17036232	Triptych of the Virgin's Life	triptych by Dieric Bouts	Triptych of the Virgin's Life (Bouts)
Q17066005	Pietà	painting by Rogier van der Weyden, Brussels version	Pietà (van der Weyden)
Q17069410	Speyer wine bottle		Speyer wine bottle
Q17354841	Judgement of Paris Amphora		Judgement of Paris Amphora
Q17523219	Eclogue 4	poem by the Roman poet Virgil	Eclogue 4
Q18204414	San Lucchese Madonna		San Lucchese Madonna
