Portuguese Empire	Colonial empire	1415	2002	-8.13057	39.6945	null
Songhai Empire	former country	1464	1591	-0.0412392	16.2788129	null
First Bulgarian Empire	null	681	1018	27.1235346	43.3630796	null
Book of Kells	codex	800	900	-72.6909669	41.7470446	null
Crown of Aragon	former country	1137	1716	-1	41	Royal arms of Aragon (Crowned).svg
Waalo	former country	1287	1855	-15.6884494	16.4662943	null
Ziyarid dynasty	dynasty	930	1090	51.6651161	32.6705341	null
Ethiopian Empire	former country	1137	1237	38.75	9	null
Aghlabids	dynasty	800	909	10.1006205	35.6775263	null
Kingdom of Armenia (antiquity)	null	-553	428	43.38311	38.49239	null
Astrakhan Khanate	former country	1466	1556	19.850138	60.3644138	null
Très Riches Heures du Duc de Berry	book of hours	1411	1511	2.485351	49.1938993	null
Rheingau	null	937	1866	7.8657658	49.8431642	null
Kingdom of Cyprus	null	1192	1489	33.364726	35.1739302	Armoiries Chypre.svg
LinkedIn	company	199	299	-100.4458825	39.7837304	null
Order of the Garter	Orders, decorations, and medals of the United Kingdom	1348	1448	-3.2765753	54.7023545	null
Vitruvian Man	drawing	1492	1592	12.3282997	45.431244	null
Champa	realm	192	1832	74.9345541	13.1842135	null
Harsha	human	606	647	79.8452149774924	26.9861559	null
Arnolfini Portrait	painting	1434	1534	-0.128558502487114	51.50882525	null
Delhi Sultanate	state	1206	1526	77.2272603	28.6572914	null
County of Edessa	countship	1098	1150	22.0499596	40.8045116	null
Srivijaya	former country	650	1377	104.756857	-2.9888297	null
Kingdom of Galicia–Volhynia	principality	1199	1349	24.319319	50.8474669	Alex K Halych-Volhynia.svg
Bishopric of Cammin	null	1248	1650	12.48499	41.8925	null
Sultanate of Maguindanao	sultanism	1300	1888	124.196953018016	7.2188133	null
Ghaznavids	former country	962	1187	68.4132108	33.5448968	null
Sundgau	historical region	900	1648	7.7556251	48.5667492	null
François Vase	volute krater	-570	-470	11.947524	43.0160467	null
Duchy of Modena and Reggio	former country	1452	1859	10.9255707	44.6458885	null
Hariphunchai	former country	661	1292	98.9375416816244	18.09388545	null
Solomonic dynasty	royal house	1270	1370	10.2116702	38.6521203	Imperial coat of arms of Ethiopia (Haile Selassie).svg
Anhalt-Köthen	null	1396	1863	11.9750736316111	51.7303023	Blason Principauté d'Anhalt-Köthen (XVIIIe siècle).svg
Taifa of Málaga	null	1026	1239	-4.42034	36.72016	null
Principality of Ryazan	former country	1097	1521	39.6916	54.6269	null
Virgin of the Rocks	group of paintings	1483	1583	1.8883335	46.603354	null
County of Tripoli	countship	1102	1289	13.1777923	32.896672	Armoiries Tripoli.svg
Gallic Empire	null	260	274	6.9599738	50.9383611	null
Buyid dynasty	dynasty	934	1062	52.532674	29.6130192	null
